登記案號,序號,職稱,姓名
095法登他000032,2,"董  事","蔡 徵 濠"
095法登他000032,3,"董  事","李 哲 夫"
095法登他000032,4,董事長,"簡 春 生"
095法登他000032,5,"董  事","余 光 武"
095法登他000032,6,"董  事","簡 春 肇"
095法登他000032,7,"董  事",張簡俊榮
095法登他000032,8,"董  事","王 松 熙"
095法登他000032,9,"董  事","蔡 張月秀"
095法登他000032,10,"董  事",余林秀杏
095法登他000032,11,"董  事","吳 美 智"
095法登他000033,1,董事長,陳田圃
095法登他000033,2,"董  事",陳田植
095法登他000033,3,"董  事",陳田柏
095法登他000033,4,"董  事",陳田仁
095法登他000033,5,"董  事",孫土池
095法登他000033,6,"董  事",陳章義
095法登他000033,7,"董  事",陳瓊讚
095法登他000033,8,"董  事",陳政弘
095法登他000033,9,"董  事",林孟貴
095法登他000034,1,董事長,"黃 碧 玉"
095法登他000034,2,"董  事",徐瑞英
095法登他000034,3,"董  事","何 虹 兒"
095法登他000034,4,"董  事","康 維 邦"
095法登他000034,5,"董  事","錢 師 風"
095法登他000034,6,"董  事","湯 金 全"
095法登他000034,7,"董  事","鄭    義"
095法登他000034,8,"董  事","林 杰 正"
095法登他000034,9,"董  事","林 正 泰"
095法登他000034,10,"董  事","宋 彩 玉"
095法登他000034,11,"董  事","彭 錦 冠"
095法登他000035,1,"董 事 長",洪傳宗
095法登他000035,2,常務董事,張志強
095法登他000035,3,"董    事",李青霖
095法登他000035,4,"董    事",黃水斤
095法登他000035,5,"董    事",林少輝
095法登他000035,6,"董    事",蘇威克
095法登他000035,7,"董    事",陳冠銘
095法登他000036,1,"理 事 長",張國安
095法登他000036,2,"理    事",徐財源
095法登他000036,3,"理    事",王嘉猷
095法登他000036,4,"理    事",黃余寶妹
095法登他000036,5,"理    事",趙鴻泰
095法登他000036,6,"理    事",張啟風
095法登他000036,7,"理    事",楊清文
095法登他000036,8,"理    事",吳淑義
095法登他000036,9,"理    事",盧義眾
095法登他000036,10,"理    事",曾麗華
095法登他000036,11,"理    事",張義雄
095法登他000036,12,常務監事,陳同進
095法登他000036,13,"監    事",高進義
095法登他000036,14,"監    事",曾天來
095法登他000037,1,常務理事,蕭義雄
095法登他000037,2,"理 事 長",周美媛
095法登他000037,3,"理    事",林美淑
095法登他000037,4,"理    事",戴國憲
095法登他000037,5,"理    事",王儀南
095法登他000037,6,"理    事",賴青朋
095法登他000037,7,"理    事",江麗玲
095法登他000037,8,常務理事,華應麒
095法登他000037,9,"理    事",陳麗櫻
095法登他000037,10,"監    事",張簡秀月
095法登他000037,11,"監    事",張海清
095法登他000037,12,常務監事,李銘堂
095法登他000038,1,"董  事",黃堅致
095法登他000038,2,"董  事","黃 景 森"
095法登他000038,3,"董  事",黃俊豪
095法登他000038,4,"董  事","吳 仙 龍"
095法登他000038,5,"董  事","黃 明 吉"
095法登他000038,6,"董  事","吳 慧 萍"
095法登他000038,7,"董  事","蘇 義 雄"
095法登他000038,8,"董  事","侯 政 雄"
095法登他000038,9,董事長,"黃 清 枝"
095法登他000038,10,"董  事","黃 清 源"
095法登他000038,11,"董  事",蔡陳阿菊
095法登他000038,12,"董  事","曾 良 男"
095法登他000038,13,"董  事","王 振 榮"
095法登他000038,14,"董  事","黃 龍 雄"
095法登他000038,15,"董  事","谷 瑞 芬"
095法登他000039,1,董事長,"林 國 雄"
095法登他000039,2,"董  事","張 享 龍"
095法登他000039,3,"董  事","林 俐 香"
095法登他000039,4,"董  事","林 勝 雄"
095法登他000039,5,"董  事","謝 國 志"
095法登他000039,6,"董  事","陳 禎 隆"
095法登他000039,7,"董  事","邱 森 曙"
095法登他000039,8,"董  事","林 榮 生"
095法登他000039,9,"董  事","張 高 煌"
095法登他000039,10,"董  事","黃 美 齡"
095法登他000039,11,"董  事","劉 騰 𣏌"
095法登他000039,12,"董  事","劉 秀 惠"
095法登他000039,13,"董  事",鍾劉洪貞
095法登他000039,14,"董  事","詹 錦 春"
095法登他000039,15,"董  事","詹 慶 忠"
095法登他000039,16,董　事,鍾介豪
095法登他000039,17,董　事,朱良洪
095法登他000039,18,董　事,李國達
095法登他000039,19,董　事,宋良雄
095法登他000039,20,董　事,劉滿娣
095法登他000039,21,董　事,鍾潤松
095法登他000040,1,"理    事",劉素花
095法登他000040,2,"理 事 長",李惠瑛
095法登他000040,3,常務理事,徐淑容
095法登他000040,4,"理    事",周孟文
095法登他000040,5,常務理事,李姿穎
095法登他000040,6,常務監事,王惠慧
095法登他000040,7,"理    事",劉嘉益
095法登他000040,8,"理    事",邱陳素珍
095法登他000040,9,"理    事",葉秀春
095法登他000040,10,"理    事",鐘德運
095法登他000040,11,"監    事",劉桂香
095法登他000040,12,"監    事",陳坤崙
095法登他000041,1,"董  事",唐乾清
095法登他000041,2,"董  事",孫明德
095法登他000041,3,董事長,孫得功
095法登他000041,4,"董  事",張姜秀雲
095法登他000041,5,"董  事",劉明經
095法登他000041,6,董　事,李秀英
095法登他000041,7,"董  事",許秋華
095法登他000042,1,董事長,"張 鵬 圖"
095法登他000042,2,"董  事","張 惠 人"
095法登他000042,3,董　事,何玉珠
095法登他000042,4,"董  事","何 少 炘"
095法登他000042,5,"董  事","周 誠 寬"
095法登他000042,6,"董  事","許 國 強"
095法登他000042,7,"董  事","步 天 鵬"
095法登他000042,8,"董  事","張 克 難"
095法登他000042,9,"董  事",許黃月華
095法登他000043,1,董事長,王曉風
095法登他000043,2,"董  事",賈彥文
095法登他000043,3,"董  事",蕭學璇
095法登他000043,4,"董  事",林吉男
095法登他000043,5,"董  事",王彩俶
095法登他000043,6,"董  事",陳發熹
095法登他000043,7,"董  事",胡成業
095法登他000043,8,"董  事",胡僑榮
095法登他000043,9,"董  事",林思伶
095法登他000043,10,"董  事",劉巨烘
095法登他000043,11,"董  事","麥  蕾"
095法登他000043,12,"董  事",陳海雯
095法登他000043,13,"董  事",劉嘉玲
095法登他000044,1,"董 事 長",蕭洪澄江
095法登他000044,2,常務董事,"蔡 嘉 賓"
095法登他000044,3,常務董事,李秋月
095法登他000044,4,常務董事,黃孫瑞敏
095法登他000044,6,"董 　 事","陳 金 葉"
095法登他000044,7,"董    事",林獻西
095法登他000044,8,"董    事","黃 高 燦"
095法登他000044,9,"董    事","蔡 森 郎"
095法登他000044,10,"董    事","黃 一 康"
095法登他000044,11,"董    事","王 老 得"
095法登他000044,12,"董    事",許振宏
095法登他000044,13,"董    事",簡勝己
095法登他000044,14,"董    事",黃洪秋月
095法登他000044,16,"董    事",潘雪娥
095法登他000044,19,常務董事,"林 秀 珠"
095法登他000045,1,董事長,"王 啟 文"
095法登他000045,2,"董  事","李 金 盛"
095法登他000045,3,"董  事","洪 萬 生"
095法登他000045,4,"董  事","歐 春 木"
095法登他000045,5,"董  事","潘 孝 銳"
095法登他000045,6,"董  事","侯 金 成"
095法登他000045,7,"董  事",邱威豪
095法登他000045,8,"董  事","盧 友 義"
095法登他000045,9,"董  事","侯 錫 榮"
095法登他000045,10,"董  事",王禮
095法登他000045,11,"董  事","李 運 勇"
095法登他000045,12,"董  事","李    銀"
095法登他000045,13,"董  事","張    調"
095法登他000045,14,"董  事","李 春 松"
095法登他000045,15,"董  事","林 國 寶"
095法登他000046,1,"理    事",江金香
095法登他000046,2,常務理事,陳楊寶金
095法登他000046,3,"監    事",林建中
095法登他000046,4,"理    事","陳 喜 峰"
095法登他000046,5,"理    事","陳 景 昌"
095法登他000046,6,"理    事",洪徐素容
095法登他000046,7,"理 事 長","黃 秋 賓"
095法登他000046,8,"理    事","潘 秋 泉"
095法登他000046,9,"監    事","范 俊 城"
095法登他000046,10,常務監事,"汪 毓 文"
095法登他000046,11,常務理事,"蔡 建 坤"
095法登他000046,12,"理    事",張漢卿
095法登他000047,1,董事長,單國璽
095法登他000047,2,"董  事",李復興
095法登他000047,3,"董  事",王志偉
095法登他000047,4,"董  事",戴志成
095法登他000047,5,"董  事",江綺雯
095法登他000047,6,"董  事",宋弘茂
095法登他000047,7,"董  事",周鍾淡
095法登他000047,8,"董  事",杜武吉
095法登他000047,9,"董  事",謝聰智
095法登他000047,10,"董  事",洪元明
095法登他000047,11,"董  事",譚木盛
095法登他000047,12,"董  事",杜勇雄
095法登他000047,13,"董  事",程肇陽
095法登他000047,14,"董  事",吳終源
095法登他000047,15,"董  事",洪山川
095法登他000048,1,董事長,洪俊德
095法登他000048,2,"董  事",王國昭
095法登他000048,3,"董  事",洪叁教
095法登他000048,4,"董  事",洪孝旻
095法登他000048,5,"董  事",洪清奇
095法登他000048,6,"董  事",洪偉陽
095法登他000048,7,"董  事",鄭雪屏
095法登他000048,8,"董  事",楊進朝
095法登他000048,9,"董  事",洪乾元
095法登他000048,10,監察人,洪敏嫣
095法登他000048,11,監察人,余柳瑩
095法登他000049,1,"董 事 長",徐榮川
095法登他000049,2,常務董事,張志豪
095法登他000049,3,常務董事,馬香媛
095法登他000049,4,常務董事,王平珠
095法登他000049,5,常務董事,宗建宇
095法登他000049,6,常務董事,馬正榮
095法登他000049,7,常務董事,王尚錚
095法登他000049,8,常務董事,武煥棋
095法登他000049,9,常務董事,錢益成
095法登他000049,10,"董    事",巴建國
095法登他000049,11,"董    事",薛文清
095法登他000049,12,"董    事",馬連城
095法登他000049,13,"董    事",沈士賢
095法登他000049,14,"董    事",王勇福
095法登他000049,15,"董    事",馬慧芳
095法登他000049,16,"董    事",趙長洲
095法登他000049,17,"董    事","金  晶"
095法登他000049,18,"董    事",宗建勳
095法登他000049,19,"董    事",明景森
095法登他000049,20,"董    事",沙國強
095法登他000049,21,"董    事",沙葆琚
095法登他000049,22,"董    事",王蕙貞
095法登他000049,23,"董    事",馬復修
095法登他000049,24,"董    事",徐郡廷
095法登他000049,25,"董    事",馬兆驤
095法登他000049,26,"董    事",韓維倫
095法登他000049,27,"董    事",徐洪海
095法登他000049,28,常務監事,金豐苗
095法登他000049,29,常務監事,"楊  琦"
095法登他000049,30,常務監事,馬孝貞
095法登他000049,31,"監    事",馬自保
095法登他000049,32,"監    事",馬自高
095法登他000049,33,"監    事",鄭元生
095法登他000049,34,"監    事",木正忠
095法登他000049,35,"監    事",明景芳
095法登他000049,36,"監    事",沙蕙琴
095法登他000050,1,"董 事 長","顏 明 仁"
095法登他000050,2,常務董事,陳茂盛
095法登他000050,3,常務董事,胡婉好
095法登他000050,4,"董    事",翁林玉雪
095法登他000050,5,"董    事",李興惠
095法登他000050,6,"董    事",柳全信
095法登他000050,7,"董    事","柯 淑 夏"
095法登他000050,8,"董    事",王翠華
095法登他000050,9,"董    事",張詠晴
095法登他000051,1,董事長,鍾正光
095法登他000051,3,"董  事",陳彩繁
095法登他000051,4,"董  事",劉維琪
095法登他000051,5,"董  事",石滋宜
095法登他000051,6,"董  事",鍾邦界
095法登他000051,7,"董  事","宋  鎧"
095法登他000051,8,"董  事",陳文欽
095法登他000051,9,"董  事",許一男
095法登他000051,10,"董  事",許亨通
095法登他000052,1,董事長,"陳 敏 斷"
095法登他000052,2,"董  事","陳 敏 賢"
095法登他000052,3,"董  事","黃 美 玉"
095法登他000052,4,"董  事","何 精 哲"
095法登他000052,5,"董  事","趙 忠 傑"
095法登他000052,6,"董  事","羅 麗 櫻"
095法登他000052,7,"董  事","黃 玉 娟"
095法登他000052,8,"董  事","王 春 櫻"
095法登他000052,9,"董  事",黃林秀貞
095法登他000053,1,"董  事",張國權
095法登他000053,2,董　事,沈重光
095法登他000053,3,"董  事",王永男
095法登他000053,4,董　事,黃乙卯
095法登他000053,6,董事長,"陳    傑"
095法登他000053,7,"董  事",陳幼慈
