登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,代理人,代理人住址,郵遞區號,第二個代理人,第二個代理人住址,郵遞區號,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,註銷日期,撤銷日期,撤(註)銷機關文號,撤(註)銷原因
083法登000030,1,2,林文鼎,153,0830610,0830610,0830611,6冊19頁,2,2,藍金安,財團法人台灣省台北縣永和市中華基督教浸信會中和堂,0611109,台北縣永和市永和路一段一五五號,"以遵照聖經使命，傳揚福音，服務社會，辦理教育、公益、慈善等事        業為宗旨。",由會友捐助,台北縣政府六十一年十一月三日北縣民一字第四二號,永久,10962287.00,1,0830610,,0830616,,,,,,,,,,,,,,,
083法登000031,1,1,林文鼎,154,0830620,0830620,0830621,6冊21頁,,0,張國龍,財團法人新台灣發展文教基金會,0830620,台北縣板橋市文化路一段一四五號八樓之一,"以新台灣之未來發展，辦理綜合規劃之研究、教育及出版，促進社會        大眾對台灣未來發展之關心、了解與共識為宗旨。","由尤  清捐助",台北縣政府八十三年六月十五日北府教三字第二０六一０二號函,永久,2000000.00,1,0830620,,,,,,,,,,,,,,,,,
083法登000032,2,1,林文鼎,155,0830621,0830621,0830622,6冊23頁,,0,莊寶鑫,社團法人國際獅子會中華民國總會台灣省台北縣福營獅子會,0830621,台北縣新莊市富國路一二四號六樓,以尊重自由啟發智慧，發揚博愛互助精神，促進國家安全，增進國民外交，發展公共關係，提倡社會福利為宗旨。,入會費、常年會費及其他捐助。,八十一年五月六日台北縣政府北府社一字第一四二三三三號函,永久,345807.00,1,0830621,,,,,,,,,,,,,,,,,
083法登000033,2,1,林文鼎,156,0830622,0830622,0830623,6冊25頁,,0,陳進金,社團法人國際獅子會中華民國總會台灣省台北縣集賢獅子會,0830622,台北縣蘆洲鄉永安南路二段一五四號三樓,以發揚人類博愛互助精神，增進國際間友好關係，尊重自由啟發智慧，提倡社會福利，促進國家安全為宗旨。,會員入會費、常年會費及其他捐助。,台北縣政府八十三年四月二十一日北府社一字第一三五二七三號函,永久,100000.00,1,0830622,,,,,,,,,,,,,,,,,
083法登000034,1,1,林文鼎,157,0830623,0830623,0830624,6冊27頁,,0,朱義旭,財團法人開拓文教基金會,0830623,台北縣板橋市海山路三十七號,以宣揚民主教育理念，推展鄉土文化為宗旨。,由劉世芳捐助,台北縣政府八十三年六月六日北府教三字第一九四九０二號函,永久,2000000.00,1,0830623,,,,,,,,,,,,,,,,,
083法登000035,1,1,林文鼎,158,0830624,0830624,0830625,6冊29頁,,0,林安誠,財團法人樂林文教基金會,0830624,台北縣永和市中興街一三三巷十六號六樓,以提倡音樂及藝術活動，發揮社會教育，宏揚文化為宗旨。,由林安誠及蘇美玲捐助,台北縣政府八十三年六月十七日北府教三字第二０八八七五號函,永久,2000000.00,1,0830624,,,,,,,,,,,,,,,,,
083法登000036,1,1,林文鼎,159,0830628,0830628,0830629,6冊31頁,,0,謝志超,財團法人台灣省台北縣林口基督徒聚會處,0830628,台北縣林口鄉中正路六十巷十一號,以宣揚耶穌基督福音，培養信徒靈性，並舉辦慈善公益事業為宗旨。,由財團法人台北市基督徒聚會處捐助,台北縣政府八十三年五月十八日北府民二字第一五八０七五號函,永久,15000000.00,1,0830628,,,,,,,,,,,,,,,,,
083法登000037,1,2,林文鼎,116,0830628,0830628,0830629,5冊5頁,1,0,王永慶,財團法人私立明志工業專科學校。,0550601,台北縣泰山鄉貴子村工專路八十四號。,創辦私立明志工業專科學校並謀其發展。,台灣塑膠股份有限公司捐助。,教育部五十三年七月六日台53高字第八八五二號令。,永久。,693946095.00,1,0830628,,,,,,,,,,,,,,,,,
083法登000038,1,1,林文鼎,160,0830701,0830701,0830702,6冊33頁,,0,林長勳,財團法人慈暉文教基金會,0830701,台北縣永和市福和路九十二號地下樓,以改善國民生活環境與提昇國人生活品質為宗旨,由林長勳捐助,教育部八十三年六月二十二日台83社字第０三二三０七號函,永久,10000000.00,1,0830701,,,,,,,,,,,,,,,,,
083法登000039,1,2,林文鼎,127,0830701,0830701,0830702,5冊27頁,1,0,游炳昆,財團法人台灣省台北縣台灣基督長老教會樹林教會,0660712,台北縣樹林鎮中山路一段二號,以促進信徒健全信仰，宣揚基督福音，並舉辦慈善及教育事業為宗旨,由游炳昆等捐助,台北縣政府六十五年十二月十七日北府民一字第二九二六０二號函,永久,45425213.00,1,0830701,,,,,,,,,,,,,"捐助暨組織章程第三條及第八條經本院民事庭於八十三年三月四日以八十
  三年法字第一號民事裁定准予修正。",,,,
083法登000040,1,2,林文鼎,126,0830705,0830705,0830706,5冊25頁,1,2,徐有庠,財團法人私立亞東工業專科學校,0581007,台北縣板橋市四川路二段五十八號,"為遵照國家教育政策暨現行法令之規定，配合國家經濟發展，培養工        業專技人才，並謀其健全發展。",由遠東紡織股份有限公司及亞洲水泥股份有限公司捐助,教育部五十八年八月十二日(58)專字第一六四八七號令,永久,980311879.00,1,0830705,,,,,,,,,,,,,,,,,
083法登000041,1,2,林文鼎,30,0830725,0830725,0830726,2冊11頁,2,3,張培生,財團法人台灣省台北縣中華基督教永和浸信會,0761203,台北縣永和市中正路二七七號地下樓,以傳佈基督福音，發揚耶穌真理，辦理慈善公益及充實會友心靈生活為宗旨。,由會友捐助,台北縣政府七十六年十一月九日北府民二字第三五二五五四號函,永久,5242297.00,1,0830725,,,,,,,,,,,,,董事印鑑。,,,,
083法登000042,1,2,林文鼎,161,0830727,0830727,0830728,6冊35頁,2,11,郭若石,財團法人台灣省台北縣私立恒毅高級中學,0500130,台北縣新莊市中正路一０八號,為遵照國家教育政策暨現行教育法令之規定，創辦私立恒毅高級中學，並謀其健全發展。,由天主教主徒會捐助,台灣省政府六十八年七月二十四日(68)教二字第四九０八三號函,永久,160421464.00,1,0830727,,,,,,,,,,,,,,,,,
083法登000043,2,1,林文鼎,162,0830803,0830803,0830804,6冊37頁,,0,彭永寬,社團法人中華道教褒忠義民慈善會,0830803,台北縣板橋市明德街二巷八號,以發揚道教褒忠義民爺忠義精神，端正社會風氣，推展社會服務為宗旨。,會員入會費、常年會費及其他收入。,內政部八十三年五月十三日台(83)內社字第八三一一一三六號函,永久,20000.00,1,0830803,,,,,,,,,,,,,,,,,
083法登000044,1,1,林文鼎,163,0830803,0830803,0830804,6冊39頁,,0,謝敬忠,財團法人功學社學術獎助基金會,0830803,台北市博愛路一一五號,以獎學暨獎助學術研究，提高音樂水準，宏揚中華文化為宗旨。,由功學社股份有限公司捐助,教育部六十二年四月三日台(62)高字第八二三七號函,永久,10559746.00,1,0830803,,,,,,,,,,,,,,,,,
083法登000045,1,2,林文鼎,59,0830804,0830804,0830805,3冊11頁,2,2,廖本蒼,財團法人台北縣明聖愛心慈善事業基金會,0800418,台北縣永和市永和路一段一五一巷三號四樓,以舉辦社會愛心慈善事業為宗旨,由連田井等人捐助,台北縣政府八十年三月二十八日北府社三字第０七七一八六號函,永久,3150000.00,1,0830804,,,,,,,,,,,,,,,,,
083法登000046,1,1,林文鼎,164,0830804,0830804,0830805,6冊41頁,,0,林金田,財團法人三峽文教公益基金會,0830804,台北縣三峽鎮文化路一五八號,以提昇教育品質，從事文教及公益事業為宗旨。,由林金田等人捐助,台北縣政府八十三年七月二十九日北府教三字第二六四八二三號函,永久,6000000.00,1,0830804,,,,,,,,,,,,,,,,,
083法登000047,2,2,林文鼎,165,0830818,0830818,0830819,6冊43頁,2,2,張鄔如鳳,社團法人台北縣智障福利協進會,0800729,台北縣中和市秀朗路三段一二八巷十號,以結合台北縣智障者家屬及關心智障者人士，爭取智障者合法權益，促進智障者福利為宗旨。,會員入會費、常年會費、永久會費及其他收入。,台北縣政府八十年六月二十一日北府社一字第一六一八四五號函,永久,122000.00,1,0830818,,,,,,,,,,,,,,,,,
083法登000048,1,1,林文鼎,166,0830906,0830906,0830907,6冊45頁,,0,張慧生,財團法人群生文教基金會,0830906,台北縣永和市秀朗路一段二０一號,以協助學校改善環境，發展校務，獎勵教師研究進修，促進學生敦品勵學為宗旨。,由復興高級商工職業學校捐助,台北縣政府八十三年八月二十日北府教三字第二八八五００號函,永久,10000000.00,1,0830906,,,,,,,,,,,,,,,,,
083法登000049,2,1,林文鼎,167,0830909,0830909,0830910,6冊47頁,,0,董裕榮,社團法人台北縣自閉症服務協進會,0830909,台北縣三重市中正北路五０八巷二十一號,以結合台北縣關心自閉症人士，爭取自閉症者合法權益，促進自閉症福利為宗旨。,會員入會費、常年會費及其他收入。,台北縣政府八十三年九月五日北府社一字第三０五五二四號函,永久,919788.00,1,0830909,,,,,,,,,,,,,,,,,
083法登000050,1,2,林文鼎,135,0830912,0830912,0830913,5冊43頁,1,2,林水福,財團法人台灣省台北縣禮智堂,0560323,台北縣中和市石門路五十二號,以宣揚宗教道德，研習各教經典，勸化引善為宗旨。,由林金欽等捐助,台北縣政府五十六年二月二十八日北府民一字第一五四０五號通知,永久,25204034.00,1,0830912,,,,,,,,,,,,,,,,,
083法登000051,1,2,林文鼎,139,0830923,0830923,0830924,5冊51頁,2,9,林崇智,財團法人台灣省台北縣私立南山高級中學,0491204,台北縣中和市廣福路四十一號,以創辦台灣省台北縣私立南山高級中學並謀發展中等教育為目的,由林熊祥等人捐助,台北縣政府四十六年九月五日北府教德一字第四一六四號,永久,125707747.00,1,0830923,,,,,,,,,,,,,,,,,
083法登000052,1,2,林文鼎,168,0830930,0830930,0831001,6冊49頁,2,6,戴健新,財團法人台灣省台北縣中和教會聚會所,0590224,台北縣中和市興南路一段八十五巷二十三號,以成立聚會傳揚基督引人歸主及辦理公益慈善事業為宗旨,由信眾捐助,台北縣政府五十九年二月十二日北府民一字第一七七四０號,永久,5125801.00,1,0830930,,,,,,,,,,,,,,,,,
083法登000053,1,2,林文鼎,169,0830930,0830930,0831001,6冊51頁,2,2,金惠媖,財團法人台灣省台北縣天主教本篤會,0570418,台北縣泰山鄉明志路三段九十六巷一號,以協助中國當地主教服務人群，宣揚天主教教義，並供應聖本篤會所需之一切設備及經費為目的。,由天主教本篤會總會捐助,台北縣政府五十七年三月十八日,永久,226448000.00,1,0830930,,,,,,,,,,,,,,,,,
083法登000054,1,2,林文鼎,84,0831011,0831011,0831012,4冊1頁,1,0,林健治,財團法人中華民國石油環保基金會,0811106,台北縣新莊市五權一路一之五號,以環境保護，維護生態平衡及提升環境品質為目的。,"由中鋼碳素化學股份有限公司、林健治、林志卿、莊  達、陳敏廷、蔡銘賢、洪哲文、郭文忠捐助。",行政院環境保護署八十一年十月二十七日環暑綜字第四四一二八號,永久,5000000.00,1,0831010,,,,,,,,,,,,,,,,,
083法登000055,2,1,林文鼎,170,0831017,0831017,0831018,6冊53頁,,0,詹明祥,社團法人台北縣八二三戰役戰友協會,0831017,台北縣板橋市重慶路一三九巷十七號四樓,以發揚國軍光榮傳統，紀念八二三金門台海戰役，聯繫當年同生死共患難之戰友，精誠團結，擁護政府，維護國家安全，促進社會安定，並謀取戰友之合法權益為宗旨。,會員入會費、常年會費及其他收入。,台北縣政府八十三年九月十七日83北府社一字第三二二三０七號函,永久,100000.00,1,0831017,,,,,,,,,,,,,,,,,
083法登000056,1,2,林文鼎,171,0831017,0831017,0831018,6冊55頁,2,8,陳履慶,財團法人台灣省台北縣私立辭修高級中學,0620319,台北縣三峽鎮溪東路二五一號,以創辦私立辭修高級中學並謀其發展為目的,由財團法人陳誠文教基金會捐助,台灣省政府教育廳六十一年五月二十七日教二字第四二００七號,永久,131907665.00,1,0831017,,,,,,,,,,,,,,,,,
083法登000057,1,2,林文鼎,172,0831103,0831103,0831104,6冊57頁,2,5,許正秋,財團法人台灣省台北縣樹林鎮鎮南宮,0670703,台北縣樹林鎮千歲街二號,以宏揚教義，敦睦信徒，增進友誼，興辦社會福利公益慈善事業，樹立互助合作團結精神及獎助地方教育，拔擢人才為宗旨。,由信徒捐助,台北縣政府六十六年五月十三日北縣民一字第九七０九三號,永久,12909846.00,1,0831103,,,,,,,,,,,,,,,,,
083法登000058,1,2,林文鼎,41,0831111,0831111,0831114,2冊33頁,1,2,劉炳華,財團法人思源醫療基金會,0780902,台北縣新莊市思源路一二七號,以協助急救、急難病患就醫為目的。,由劉炳偉等捐助,行政院衛生暑七十八年五月十日衛暑醫字第八０一六七０號函,永久,11398656.00,1,0831111,,,,,,,,,,,,,董事劉炳華印鑑變更。,,,,
083法登000059,1,1,林文鼎,173,0831119,0831119,0831121,6冊59頁,,0,蔡友藏,財團法人華新文教基金會,0831119,台北縣板橋市中正路三三二號三樓,以推廣各項文教公益工作為宗旨,由名府建設股份有限公司捐助,台北縣政府八十三年十一月十六日北府教三字第四０二四一一號函,永久,2000000.00,1,0831119,,,,,,,,,,,,,,,,,
083法登000060,1,2,林文鼎,89,0831123,0831128,0831129,4冊11頁,1,0,梁秉權,財團法人私立致理商業專科學校,0540922,台北縣板橋市文化路一段三一三號,為供應私立致理商業專科學校所需一切設備及經費,由創辦人及董事會捐助,五十四年九月二日教育部54高字第一三六二五號令,永久,407914364.00,1,0831128,,,,,,,,,,,,,,,,,
083法登000061,1,2,林文鼎,139,0831124,0831124,0831125,5冊51頁,1,9,林崇智,財團法人台灣省台北縣私立南山高級中學,0491204,台北縣中和市廣福路四十一號,以創辦台灣省台北縣私立南山高級中學並謀發展中等教育為目的,由林熊祥等人捐助,台北縣政府四十六年九月五日北府教德一字第四一六四號,永久,127106071.00,1,0831124,,,,,,,,,,,,,,,,,
083法登000062,2,1,林文鼎,174,0831125,0831125,0831126,7冊1頁,,0,劉邦日,社團法人台北縣救難協會,0831125,台北縣五股鄉四維路一五五巷二號,以緊急重大救難為宗旨,會員入會費、常年會費及其他收入。,台北縣政府八十三年七月二十二日北府社一字第二五三一六六號函,永久,399689.00,1,0831125,,,,,,,,,,,,,,,,,
083法登000063,1,2,林文鼎,161,0831202,0831202,0831205,6冊35頁,1,11,郭若石,財團法人台灣省台北縣私立恒毅高級中學,0500130,台北縣新莊市中正路一０八號,為遵照國家教育政策暨現行教育法令之規定，創辦私立恒毅高級中學，並謀其健全發展。,由天主教主徒會捐助,台灣省政府六十八年七月二十四日(68)教二字第四九０八三號函,永久,165764037.00,1,0831202,,,,,,,,,,,,,,,,,
083法登000064,1,1,林文鼎,175,0831206,0831206,0831207,7冊3頁,,0,陳順旺,財團法人吳李愛文教基金會,0831206,台北縣板橋市中山路二段光榮巷十七弄二十二號,以捐助獎助學金，舉辦文教活動為宗旨。,由陳順旺等七人捐助,台北縣政府八十三年十一月二十八日北府教三字第四０九三三三號函,永久,6000000.00,1,0831206,,,,,,,,,,,,,,,,,
083法登000065,1,2,林文鼎,176,0831209,0831209,0831210,7冊5頁,2,4,郭明陽,財團法人台灣省台北縣板橋教會聚會所,0510327,台北縣板橋市館前西路二一三巷三十四號,以傳揚基督引人歸主，興辦慈善公益事業，促進社會福利為宗旨。,由教友捐助,台北縣政府五十一年三月二十日北府民一字第三０號,永久,78797685.00,1,0831209,,,,,,,,,,,,,,,,,
083法登000066,1,1,林文鼎,177,0831214,0831214,0831215,7冊7頁,,0,李乾龍,財團法人台北縣金陵女子高級中學文教基金會,0831214,台北縣三重市重新路五段六五六號,以協助改善教學環境，發展學校教育，獎勵教師研究進修，促進學生敦品勵學為目的。,由李乾龍等人捐助,台北縣政府八十三年十一月二十八日北府教三字第四０九三三二號函,永久,4000000.00,1,0831214,,,,,,,,,,,,,,,,,
083法登000067,1,2,林文鼎,101,0831216,0831216,0831217,4冊35頁,1,1,湯加添,財團法人印刷工業技術研究中心,0820413,台北縣三重市光復路一段八十三巷一號四樓,"以配合政府印刷工業之發展政策，從事印刷工業之機材生產技術，品        質工程管理，印刷品外銷之研究發展，印刷工業技術移轉，人才培育        及印刷前後技術整合與發展，藉以促進印刷工業技術升級為宗旨。",由經濟部工業局及台灣區印刷工業同業公會捐助,經濟部八十二年三月二日經82商字第二０四九九九號函,永久,40000000.00,1,0831216,,,,,,,,,,,,,,,,,
083法登000068,1,2,林文鼎,67,0831217,0831217,0831219,3冊27頁,2,2,劉妙芬,財團法人台灣省台北縣中國基督教靈糧世界佈道會三重靈糧堂,0801219,台北縣三重市力行路一段七十九號四樓,以往普天下去傳福音給萬民聽，並建立教會為宗旨。,由萬小運等人捐助,台北縣政府八十年十二月十日北府民二字第三八四０一八號函,永久,9000000.00,1,0831217,,,,,,,,,,,,,董事印鑑。,,,,
